Epsi_AM,Sigma_AM,Epsi_CBD,Rho_CBD,Kn,Gamman,Xu,slurry_density,visco1(18),visco2(125)
0.148985,0.702308,0.0688913,0.0761252,7.85174,5,0.0147358,1.301410714,1.184867742,0.154195455
0.108203,0.7027,0.0623673,0.0929654,8.93016,5,0.013586,1.294745536,1.443283871,0.053779545
0.22448,0.700417,0.0556145,0.0922179,8.99071,5,0.0131332,1.286450893,1.827112903,0.238998182
0.110315,0.701724,0.0822184,0.0868678,5.65631,5,0.0131007,1.587133929,1.126574194,0.425885
0.111486,0.701604,0.0712602,0.0916548,9.52775,5,0.0140307,1.248598214,1.359280645,0.213156364
0.143842,0.700862,0.0690638,0.0922665,7.35721,5,0.0147143,1.4198125,1.140646774,0.089921818
0.173683,0.700183,0.0695384,0.0797891,5.9941,5,0.0123468,1.505433036,0.341559677,0.479686364
0.0565547,0.701717,0.0610658,0.0705644,6.80646,5,0.0129262,1.371294643,1.03835,0.156991818
0.236155,0.700319,0.0755945,0.101997,8.9953,5,0.0133464,1.327254464,1.784387097,0.18971
0.158916,0.701463,0.0622384,0.0701598,8.17944,5,0.0133696,1.249330357,1.810806452,0.266451364
0.105808,0.700865,0.0706838,0.0744946,5.92299,5,0.0134865,1.487223214,1.047532258,0.134167273
0.147118,0.70113,0.0685438,0.095574,8.08868,5,0.0128308,1.37046875,1.482653226,0.395181818
0.0855132,0.70049,0.0695222,0.0759801,5.72835,5,0.0110049,1.521272321,1.540191935,0.542113636
0.205297,0.70133,0.0585702,0.077726,6.9373,5,0.0132785,1.390883929,1.391364516,0.360696818
0.1708,0.701411,0.0602082,0.0636048,9.62238,5,0.013787,1.126272321,1.613467742,0.200041364
0.137188,0.700737,0.0668064,0.0665054,3.5,5,0.0129991,1.85734375,1.117696774,0.423978636
0.135475,0.70182,0.073187,0.056574,8.27677,5,0.0121376,1.17,1.919145161,0.310917727
0.101999,0.70107,0.0681857,0.0782811,8.15711,5,0.0128591,1.288125,1.491953226,0.251874091
0.170981,0.7,0.0667084,0.0780053,8.90119,5,0.013487,1.231973214,1.646177419,0.216073636
0.0271218,0.702198,0.0691918,0.0804579,7.21303,5,0.0125235,1.3809375,0.969322581,0.124086364
0.160703,0.701538,0.0703026,0.0627153,6.38939,5,0.0132477,1.372674107,1.386258065,0.400030455
0.116726,0.702148,0.0477043,0.060185,6.48713,5,0.0133465,1.33746875,1.174566129,0.24073
0.0885092,0.701549,0.0660931,0.0933707,9.16634,5,0.0134542,1.280294643,1.553353226,0.074486818
0.154798,0.700422,0.0673674,0.0798439,3.81083,5,0.0129728,1.878633929,1.421485484,0.499345455
0.130991,0.702154,0.073161,0.0561283,7.66042,5,0.0149757,1.225111607,0.894148387,0.087315909
0.117584,0.700696,0.0686973,0.078833,6.81632,5,0.0108275,1.410125,1.742241935,0.582636364
0.270781,0.700883,0.0519235,0.0855432,5.38361,5,0.0116107,1.618133929,0.727933871,0.634722727
0.0646622,0.702233,0.0692916,0.0864582,6.72415,5,0.0123983,1.457625,1.078659677,0.266235
0.147365,0.701495,0.0705001,0.0661413,8.69434,5,0.0137788,1.194794643,1.637967742,0.241008636
0.126108,0.70168,0.0744392,0.0985765,7.09115,5,0.0133425,1.476424107,1.275346774,0.247743636
0.165173,0.700376,0.0694332,0.0758529,9.11083,5,0.0130881,1.20884375,1.880935484,0.248275
0.134717,0.700641,0.0763964,0.0867909,7.42264,5,0.014579,1.387950893,1.032985484,0.010580455
0.343619,0.701527,0.0411329,0.0910447,3.5,5,0.0102412,2.033678571,1.524401613,0.921872727
0.201088,0.700694,0.0682798,0.0668677,3.84475,5,0.0107182,1.786723214,2.18033871,0.067551818
0.234517,0.700009,0.0564164,0.0940131,6.33823,5,0.0117264,1.536727679,1.743806452,0.451348636
0.237352,0.70176,0.059064,0.0869078,5.24684,5,0.0157877,1.644486607,0.59218871,0.117131818
0.293158,0.700924,0.0573104,0.0831264,4.13731,5,0.010334,1.824834821,1.259253226,0.136086364
0.231527,0.701111,0.0603198,0.086549,5.62327,5,0.0110868,1.589665179,1.945629032,0.625354545
0.247585,0.700545,0.0439154,0.0782378,3.8416,5,0.00940752,1.86265625,2.180403226,0.905663636
0.265351,0.701019,0.0641637,0.0833055,3.51049,5,0.010349,1.977745536,2.059564516,0.252826818
0.254893,0.700098,0.0693197,0.0908344,6.17642,5,0.00994965,1.540334821,1.396535484,0.876381818
0.253048,0.7,0.0705083,0.0815213,5.76073,5,0.0115987,1.543535714,1.872532258,0.790595455
0.292131,0.700215,0.0726649,0.0865989,7.32306,5,0.0118199,1.395808036,1.92216129,0.559872727
0.260284,0.700467,0.0782514,0.0619732,5.96646,5,0.00931119,1.416066964,2.395951613,0.788263636
0.196528,0.700287,0.0638954,0.0788166,3.5,5,0.0106865,1.951816964,1.065714516,0.79445
0.190376,0.701322,0.0762522,0.0993851,7.04886,5,0.0141084,1.483544643,1.305270968,0.286115909
0.222927,0.7,0.0675431,0.0965792,6.92794,5,0.0137389,1.48271875,1.314874194,0.206228182
0.269764,0.700163,0.0787371,0.0885145,6.05832,5,0.00865293,1.543200893,2.534064516,0.999713636
0.148528,0.7,0.0701478,0.0806214,7.47404,5,0.012876,1.354897321,1.631096774,0.451715909
0.247346,0.7,0.0651715,0.0980565,6.73341,5,0.011443,1.511446429,2.031919355,0.570090909
0.192331,0.701089,0.0801602,0.090858,7.75092,5,0.0114744,1.377491071,2.176112903,0.50145
0.160484,0.700576,0.0773344,0.088121,8.16608,5,0.0116524,1.330803571,1.963209677,0.369086364
0.0905756,0.700409,0.0743208,0.0909584,6.92366,5,0.0113036,1.458464286,1.76033871,0.464395455
0.160265,0.7,0.0742905,0.066081,8.32241,5,0.0152967,1.220080357,1.012930645,0.18982
0.239588,0.700101,0.0622515,0.0901072,6.11567,5,0.00977966,1.544566964,2.230919355,0.827481818
0.126085,0.7,0.0741534,0.0811187,8.34843,5,0.00917277,1.286133929,2.521258065,0.77855
0.254803,0.700236,0.0558515,0.0883324,6.65703,5,0.0112865,1.472285714,1.92516129,0.551131818
