Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,CC/AM,CC/CBD,Active_Surface,porocal,pressure,sigma,tliq_racine,tsol_racine
51.0,93.0,7.0,40.0,50.0,50.0,96.9,1.0,6.829000000000001,2.1249999999999996,30.24,20.729999999999997,57.3,0.36858981325981,42.1699061133102,0.060397130039205,2.61323554238802,1.45773797371133
51.0,94.0,6.0,40.0,50.0,50.0,97.7,1.0,5.8420000000000005,2.1590000000000003,34.480000000000004,17.4,59.60000000000001,0.37702482658838,42.1699061133102,0.072216840286271,2.41702296224095,1.46935359937627
51.0,95.0,5.0,40.0,50.0,50.0,98.5,1.0,5.021,2.213,33.510000000000005,14.690000000000001,61.89999999999999,0.38545983991695,42.1699061133102,0.085905110708438,2.24075880004966,1.48761554173113
51.0,96.0,4.0,40.0,50.0,50.0,99.4,1.0,4.427000000000001,2.2280000000000006,35.07,12.84,64.36999999999998,0.39389485324552,42.1699061133102,0.099563664057316,2.10404372578138,1.49264865256362
61.0,93.0,7.0,40.0,50.0,50.0,97.3,1.0,6.1690000000000005,2.1730000000000005,30.3,19.709999999999997,59.10000000000001,0.37331337707981,30.9362698154691,0.067715621486839,2.48374716909753,1.47410990092327
61.0,94.0,6.0,40.0,50.0,50.0,98.2,1.0,5.394,2.221,33.75,17.21,61.470000000000006,0.38174839040838,30.9362698154691,0.079194743950126,2.32249865446678,1.49030198282093
61.0,95.0,5.0,40.0,50.0,50.0,99.0,1.0,4.760999999999999,2.246,32.76,15.26,63.879999999999995,0.39018340373695,30.9362698154691,0.091706622302383,2.18197158551618,1.49866607354674
61.0,96.0,4.0,40.0,50.0,50.0,99.9,1.0,4.372999999999999,2.2569999999999997,34.989999999999995,12.57,65.0,0.39861841706552,30.9362698154691,0.102001831396368,2.09117192023994,1.50233152133609
71.0,93.0,7.0,40.0,50.0,50.0,97.9,1.0,5.961999999999999,2.2060000000000004,31.03,19.84,59.89999999999999,0.37920418129981,22.2945827376124,0.071172337952782,2.44172070474901,1.48526091983867
71.0,94.0,6.0,40.0,50.0,50.0,98.8,1.0,5.261,2.254,32.14,17.230000000000004,62.29,0.38763919462838,22.2945827376124,0.082449773577107,2.29368698823532,1.50133274126691
