,Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,"CC,AM","CC,CBD",Active_Surface,porocal,pressure,sigma,tliq_racine,tsol_racine
121,31,94,6,47,50,50,"86,6",1,"10,616","1,899","35,12","19,78","49,8","0,33605826305277","75,7558725119257","0,035422870794654","3,25822037314851","1,3780420893427"
122,31,94,6,48,50,50,"85,1",1,"10,98","1,879","35,69","19,91","49,3","0,33105524061054","75,7558725119257","0,033738689821785","3,31360830515618","1,37076620909621"
123,31,94,6,49,50,50,"83,6",1,"12,99","1,836","36,52","20,28","47,5","0,32605221816831","75,7558725119257","0,028087177223275","3,60416425818802","1,35499077487635"
124,31,94,6,50,50,50,"82,1",1,"13,14","1,825","39,53","19,49","47,1","0,32104919572608","75,7558725119257","0,027340490868911","3,62491379207837","1,35092560861063"
125,31,95,5,45,50,50,"90,4",1,"7,343","1,984","34,57","17,16","54,28","0,3544993212658","75,7558725119257","0,054022162671446","2,70979704037037","1,40854534893272"
126,31,95,5,46,50,50,"88,9",1,"8,067","1,934","34,25","17,69","52,4","0,34949629882357","75,7558725119257","0,04847977666835","2,84024646817842","1,3906832852954"
127,31,95,5,47,50,50,"87,4",1,"8,501","1,922","36,18","17,5","51,9","0,34449327638134","75,7558725119257","0,045346191773994","2,91564744096401","1,38636214604987"
128,31,95,5,48,50,50,"85,9",1,"9,677","1,872","36,09","17,57",50,"0,33949025393911","75,7558725119257","0,039256959197878","3,11078768160092","1,36821051011897"
129,31,95,5,49,50,50,"84,4",1,"9,966","1,863","38,29","16,96","49,6","0,33448723149688","75,7558725119257","0,03755681437337","3,15689721087019","1,36491757992928"
130,31,95,5,50,50,50,"82,9",1,"11,7","1,822","38,82","17,59","47,75","0,32948420905465","75,7558725119257","0,031512207686509","3,42052627529741","1,34981480211176"
131,31,96,4,45,50,50,"91,3",1,"6,081","2,017","37,98","13,66","56,5","0,36293433459437","75,7558725119257","0,066785647165121","2,46596836962683","1,42021125189177"
132,31,96,4,46,50,50,"89,8",1,"6,612","1,96","39,5","13,18","54,56","0,35793131215214","75,7558725119257","0,060575489760775","2,57138095194003","1,4"
133,31,96,4,47,50,50,"88,3",1,"6,772","1,944","39,84","13,72","54,1","0,35292828970991","75,7558725119257","0,05831759542017","2,60230666909187","1,39427400463467"
134,31,96,4,48,50,50,"86,8",1,"7,726","1,898","37,79","14,88","52,16","0,34792526726768","75,7558725119257","0,050391971792976","2,77956831180671","1,37767920794356"
135,31,96,4,49,50,50,"85,3",1,"7,978","1,893","38,81","14,55","51,7","0,34292224482545","75,7558725119257","0,048098519924753","2,82453536001941","1,37586336530922"
136,31,96,4,50,50,50,"83,8",1,"9,169","1,842","40,47","14,14","49,8","0,33791922238322","75,7558725119257","0,041240223562747","3,02803566689694","1,35720300618588"
137,41,93,7,45,50,50,"89,4",1,"9,385","1,968","33,06","20,98","51,85","0,34361776903866","56,7729093620084","0,040970515029756","3,06349473640808","1,40285423334001"
138,41,93,7,46,50,50,"87,9",1,"10,68","1,915","32,87","22,09","50,15","0,33933462487843","56,7729093620084","0,035553880640352","3,26802692767364","1,3838352503098"
139,41,93,7,47,50,50,"86,5",1,"11,11","1,908","33,41","21,86","49,7","0,3350514807182","56,7729093620084","0,033746409264056","3,33316666249979","1,38130373198656"
140,41,93,7,48,50,50,"85,1",1,"11,34","1,893","36,01","21,52","49,3","0,33076833655797","56,7729093620084","0,032639309401091","3,36749164809655","1,37586336530922"
141,41,93,7,49,50,50,"83,6",1,"13,85","1,858","34,83","21,84","47,6","0,32648519239774","56,7729093620084","0,026378117710691","3,72155881318568","1,3630847369111"
142,41,93,7,50,50,50,"82,2",1,"14,02","1,847","32,68","22,66","47,2","0,32220204823751","56,7729093620084","0,02571641169599","3,74432904536981","1,35904378148756"
143,41,94,6,45,50,50,"90,2",1,"7,657","2,003","35,31","18,44",54,"0,35205278236723","56,7729093620084","0,051449270402107","2,76712847551392","1,41527382509534"
144,41,94,6,46,50,50,"88,8",1,"8,835","1,961","33,29","19,91","52,28","0,347769638207","56,7729093620084","0,044046884567474","2,97237278954037","1,40035709731482"
145,41,94,6,47,50,50,"87,3",1,"8,894","1,946","35,44","19,36","51,8","0,34348649404677","56,7729093620084","0,043215806930328","2,98228100620984","1,39499103939774"
146,41,94,6,48,50,50,"85,9",1,"10,282","1,9","35,59","19,82","50,08","0,33920334988654","56,7729093620084","0,036915828488916","3,20655578463871","1,37840487520902"
147,41,94,6,49,50,50,"84,5",1,"10,52","1,892","36,88","19,51","49,69","0,33492020572631","56,7729093620084","0,035625067510242","3,24345494804537","1,37549990912395"
